"week","d1","d2","d3","d4","d5","d6"
1,4.155,4.162,1.963,1.978,4.166,4.164
2,4.197,4.166,2.207,2.196,4.17,4.165
3,4.198,4.176,4.127,4.181,2.172,2.113
4,2.023,1.954,4.221,4.125,4.234,4.169
5,3.964,3.956,2.097,2.285,3.879,3.997
6,3.883,3.966,3.916,3.88,2.172,2.023
7,2.125,1.891,3.999,3.896,3.978,3.912
8,2.096,2.047,4.126,4.138,2.026,2.09
9,2.129,2.148,2.064,2.019,4.182,4.182
10,4.182,4.148,2.01,2.059,1.945,2.066
11,2.02,2.049,3.922,3.981,2.093,2.042
12,2.132,2.103,2.013,2.1,3.95,3.991
13,3.871,3.921,1.943,2.046,2.2,2.022
14,4.084,4.058,2.451,2.074,3.963,3.96
15,3.991,4.034,2.485,2.384,2.085,2.066
16,2.289,2.269,3.955,4.06,4.063,4.041
17,2.471,2.13,2.437,2.458,4.349,4.331
18,2.984,2.121,4.031,4.079,2.054,2.522
19,4.23,4.262,2.324,2.711,4.394,4.417
20,4.269,4.469,4.354,4.261,2.297,2.113
21,2.581,2.128,2.755,2.629,4.028,4.001
22,4.236,4.282,2.489,2.38,2.37,2.927
23,4.027,4.031,4.003,4.035,3.032,2.175
24,2.658,2.802,4.185,4.287,2.219,2.121
25,2.058,2.791,4.31,4.236,4.268,4.278
