"external_id","x","freq"
"00c2c",0,1
"00c2c",1,49
"023ce",0,2
"023ce",1,38
"0d293",0,2
"0d293",1,37
"27e23",0,1
"27e23",1,48
"343ab",1,38
"365cd",1,34
"3adab",0,2
"3adab",1,45
"3fe63",0,1
"3fe63",1,15
"40c71",1,45
"4d5eb",1,37
"50bf3",0,1
"50bf3",1,35
"54ed7",0,2
"54ed7",1,44
"5542e",0,3
"5542e",1,31
"559e2",0,3
"559e2",1,42
"57ea9",0,2
"57ea9",1,47
"5870e",1,43
"5aa56",0,2
"5aa56",1,36
"5c3d1",0,2
"5c3d1",1,47
"7d03b",1,49
"88df4",1,50
"898c1",1,42
"8a560",1,46
"8caa8",0,1
"8caa8",1,45
"9d7d1",1,46
"a711f",0,2
"a711f",1,47
"b7150",1,45
"bb4ea",0,2
"bb4ea",1,45
"bb8d0",0,8
"bb8d0",1,31
"bd209",0,1
"bd209",1,49
"c05b7",1,50
"c42b6",0,2
"c42b6",1,47
"c565b",1,49
"d45b5",0,3
"d45b5",1,45
"f0ed7",1,42
"f1308",0,1
"f1308",1,42
"f75f6",1,47
"f7c29",0,1
"f7c29",1,43
"f865c",0,1
"f865c",1,39
