"external_id","week","q2","group"
"10",1,4,"lab"
"10",13,2,"lab"
"10",12,3,"lab"
"10",4,4,"lab"
"10",8,3,"lab"
"10",9,2,"lab"
"10",3,4,"lab"
"10",6,4,"lab"
"10",7,4,"lab"
"10",11,2,"lab"
"10",10,3,"lab"
"10",2,4,"lab"
"10",5,5,"lab"
"11",5,4,"lab"
"11",9,4,"lab"
"11",6,3,"lab"
"11",4,5,"lab"
"11",2,4,"lab"
"11",11,3,"lab"
"11",3,4,"lab"
"11",1,3,"lab"
"11",13,3,"lab"
"11",8,2,"lab"
"11",10,3,"lab"
"11",7,4,"lab"
"11",12,3,"lab"
"12",10,2,"lab"
"12",5,3,"lab"
"12",8,2,"lab"
"12",6,3,"lab"
"12",11,1,"lab"
"12",2,3,"lab"
"12",1,4,"lab"
"12",12,3,"lab"
"12",4,3,"lab"
"12",7,4,"lab"
"12",9,2,"lab"
"12",13,2,"lab"
"12",3,3,"lab"
"13",7,2,"lab"
"13",2,3,"lab"
"13",3,4,"lab"
"13",12,2,"lab"
"13",5,3,"lab"
"13",4,4,"lab"
"13",13,2,"lab"
"13",6,3,"lab"
"13",9,2,"lab"
"13",8,2,"lab"
"13",11,3,"lab"
"13",1,4,"lab"
"13",10,3,"lab"
"14",9,2,"lab"
"14",6,3,"lab"
"14",11,2,"lab"
"14",10,3,"lab"
"14",3,3,"lab"
"14",13,2,"lab"
"14",7,3,"lab"
"14",4,4,"lab"
"14",5,3,"lab"
"14",8,3,"lab"
"14",12,3,"lab"
"14",2,3,"lab"
"14",1,4,"lab"
"15",10,2,"lab"
"15",7,4,"lab"
"15",13,2,"lab"
"15",3,3,"lab"
"15",11,1,"lab"
"15",5,3,"lab"
"15",12,2,"lab"
"15",1,3,"lab"
"15",4,4,"lab"
"15",8,3,"lab"
"15",2,3,"lab"
"15",9,2,"lab"
"15",6,3,"lab"
"16",6,4,"lab"
"16",13,2,"lab"
"16",1,3,"lab"
"16",12,3,"lab"
"16",7,4,"lab"
"16",2,3,"lab"
"16",5,4,"lab"
"16",11,3,"lab"
"16",4,3,"lab"
"16",3,4,"lab"
"16",9,2,"lab"
"16",8,3,"lab"
"16",10,2,"lab"
"17",2,3,"lab"
"17",12,2,"lab"
"17",7,3,"lab"
"17",4,4,"lab"
"17",11,2,"lab"
"17",8,3,"lab"
"17",5,4,"lab"
"17",6,3,"lab"
"17",1,4,"lab"
"17",13,2,"lab"
"17",9,2,"lab"
"17",10,4,"lab"
"17",3,4,"lab"
"18",7,4,"lab"
"18",4,5,"lab"
"18",9,3,"lab"
"18",12,2,"lab"
"18",5,4,"lab"
"18",8,3,"lab"
"18",2,4,"lab"
"18",11,2,"lab"
"18",10,2,"lab"
"18",6,4,"lab"
"18",3,5,"lab"
"18",1,4,"lab"
"18",13,3,"lab"
"19",11,2,"lab"
"19",13,2,"lab"
"19",3,4,"lab"
"19",5,4,"lab"
"19",10,2,"lab"
"19",9,2,"lab"
"19",12,2,"lab"
"19",8,2,"lab"
"19",4,4,"lab"
"19",6,4,"lab"
"19",1,4,"lab"
"19",7,4,"lab"
"19",2,4,"lab"
"20",12,2,"lab"
"20",10,3,"lab"
"20",11,2,"lab"
"20",5,4,"lab"
"20",9,3,"lab"
"20",1,3,"lab"
"20",13,2,"lab"
"20",6,3,"lab"
"20",8,3,"lab"
"20",2,3,"lab"
"20",3,2,"lab"
"20",4,3,"lab"
"20",7,2,"lab"
"21",1,4,"lab"
"21",9,2,"lab"
"21",12,2,"lab"
"21",6,4,"lab"
"21",7,5,"lab"
"21",2,4,"lab"
"21",3,4,"lab"
"21",13,2,"lab"
"21",10,2,"lab"
"21",4,4,"lab"
"21",8,3,"lab"
"21",5,3,"lab"
"21",11,2,"lab"
"22",13,2,"lab"
"22",7,3,"lab"
"22",1,4,"lab"
"22",6,2,"lab"
"22",2,4,"lab"
"22",4,4,"lab"
"22",9,2,"lab"
"22",11,1,"lab"
"22",3,3,"lab"
"22",12,2,"lab"
"22",10,1,"lab"
"22",5,4,"lab"
"22",8,2,"lab"
"23",6,4,"lab"
"23",13,3,"lab"
"23",4,4,"lab"
"23",9,2,"lab"
"23",12,2,"lab"
"23",1,5,"lab"
"23",2,3,"lab"
"23",7,3,"lab"
"23",10,2,"lab"
"23",5,4,"lab"
"23",3,4,"lab"
"23",11,3,"lab"
"23",8,2,"lab"
"24",8,2,"lab"
"24",13,2,"lab"
"24",4,4,"lab"
"24",10,2,"lab"
"24",9,3,"lab"
"24",11,2,"lab"
"24",2,4,"lab"
"24",7,5,"lab"
"24",5,4,"lab"
"24",12,4,"lab"
"24",6,3,"lab"
"24",1,4,"lab"
"24",3,4,"lab"
"25",5,2,"lab"
"25",9,1,"lab"
"25",3,2,"lab"
"25",8,2,"lab"
"25",7,2,"lab"
"25",4,2,"lab"
"25",11,2,"lab"
"25",6,2,"lab"
"25",1,2,"lab"
"25",10,2,"lab"
"25",13,2,"lab"
"25",12,2,"lab"
"25",2,2,"lab"
"26",1,3,"lab"
"26",9,2,"lab"
"26",7,3,"lab"
"26",13,2,"lab"
"26",2,3,"lab"
"26",10,2,"lab"
"26",3,3,"lab"
"26",6,3,"lab"
"26",5,4,"lab"
"26",4,4,"lab"
"26",12,3,"lab"
"26",8,3,"lab"
"26",11,3,"lab"
"27",2,5,"lab"
"27",5,3,"lab"
"27",11,2,"lab"
"27",7,2,"lab"
"27",4,5,"lab"
"27",3,3,"lab"
"27",8,2,"lab"
"27",9,3,"lab"
"27",13,1,"lab"
"27",1,3,"lab"
"27",12,3,"lab"
"27",10,2,"lab"
"27",6,3,"lab"
"28",6,4,"lab"
"28",12,2,"lab"
"28",11,1,"lab"
"28",10,2,"lab"
"28",5,2,"lab"
"28",4,4,"lab"
"28",9,3,"lab"
"28",2,4,"lab"
"28",1,3,"lab"
"28",7,3,"lab"
"28",3,4,"lab"
"28",8,2,"lab"
"28",13,1,"lab"
"29",13,3,"lab"
"29",7,4,"lab"
"29",12,2,"lab"
"29",1,3,"lab"
"29",11,2,"lab"
"29",6,4,"lab"
"29",5,5,"lab"
"29",9,3,"lab"
"29",10,2,"lab"
"29",8,3,"lab"
"29",3,3,"lab"
"29",2,4,"lab"
"29",4,4,"lab"
"30",9,2,"lab"
"30",4,4,"lab"
"30",11,2,"lab"
"30",7,4,"lab"
"30",10,3,"lab"
"30",1,4,"lab"
"30",5,4,"lab"
"30",8,3,"lab"
"30",13,2,"lab"
"30",2,3,"lab"
"30",3,3,"lab"
"30",6,3,"lab"
"30",12,3,"lab"
"31",13,2,"lab"
"31",7,4,"lab"
"31",8,1,"lab"
"31",9,1,"lab"
"31",10,1,"lab"
"31",2,3,"lab"
"31",6,3,"lab"
"31",1,4,"lab"
"31",12,1,"lab"
"31",5,4,"lab"
"31",11,2,"lab"
"31",4,4,"lab"
"31",3,3,"lab"
"32",8,3,"lab"
"32",3,4,"lab"
"32",2,3,"lab"
"32",6,4,"lab"
"32",5,5,"lab"
"32",7,4,"lab"
"32",9,4,"lab"
"32",4,5,"lab"
"32",11,4,"lab"
"32",10,3,"lab"
"32",1,3,"lab"
"32",12,4,"lab"
"32",13,4,"lab"
"41",2,3,"lab"
"41",5,2,"lab"
"41",1,4,"lab"
"41",13,2,"lab"
"41",10,2,"lab"
"41",12,3,"lab"
"41",8,1,"lab"
"41",4,2,"lab"
"41",3,4,"lab"
"41",9,2,"lab"
"41",11,3,"lab"
"41",6,4,"lab"
"41",7,3,"lab"
"42",1,4,"lab"
"42",3,4,"lab"
"42",6,3,"lab"
"42",12,2,"lab"
"42",7,3,"lab"
"42",9,4,"lab"
"42",10,3,"lab"
"42",11,4,"lab"
"42",2,4,"lab"
"42",13,5,"lab"
"42",8,4,"lab"
"42",4,4,"lab"
"42",5,4,"lab"
"43",11,2,"lab"
"43",4,4,"lab"
"43",2,3,"lab"
"43",6,4,"lab"
"43",9,2,"lab"
"43",12,3,"lab"
"43",3,4,"lab"
"43",10,3,"lab"
"43",5,3,"lab"
"43",13,3,"lab"
"43",1,4,"lab"
"43",7,5,"lab"
"43",8,3,"lab"
"44",4,4,"lab"
"44",2,4,"lab"
"44",1,4,"lab"
"44",11,2,"lab"
"44",13,2,"lab"
"44",7,3,"lab"
"44",3,3,"lab"
"44",12,4,"lab"
"44",6,2,"lab"
"44",8,2,"lab"
"44",10,3,"lab"
"44",9,3,"lab"
"44",5,3,"lab"
"45",2,3,"lab"
"45",10,2,"lab"
"45",4,4,"lab"
"45",5,2,"lab"
"45",3,4,"lab"
"45",13,1,"lab"
"45",6,3,"lab"
"45",12,2,"lab"
"45",8,2,"lab"
"45",9,2,"lab"
"45",7,3,"lab"
"45",1,3,"lab"
"45",11,2,"lab"
"46",12,1,"lab"
"46",4,3,"lab"
"46",9,2,"lab"
"46",5,3,"lab"
"46",6,3,"lab"
"46",8,2,"lab"
"46",1,3,"lab"
"46",2,3,"lab"
"46",7,4,"lab"
"46",13,1,"lab"
"46",11,1,"lab"
"46",10,1,"lab"
"46",3,3,"lab"
"47",7,3,"lab"
"47",11,2,"lab"
"47",6,4,"lab"
"47",12,2,"lab"
"47",1,5,"lab"
"47",5,3,"lab"
"47",13,1,"lab"
"47",4,3,"lab"
"47",8,2,"lab"
"47",9,1,"lab"
"47",10,3,"lab"
"47",3,5,"lab"
"47",2,4,"lab"
"48",9,3,"lab"
"48",4,4,"lab"
"48",8,3,"lab"
"48",12,2,"lab"
"48",13,3,"lab"
"48",11,3,"lab"
"48",2,4,"lab"
"48",10,3,"lab"
"48",3,4,"lab"
"48",1,3,"lab"
"48",7,3,"lab"
"48",5,3,"lab"
"48",6,3,"lab"
"49",9,2,"lab"
"49",12,3,"lab"
"49",4,4,"lab"
"49",1,4,"lab"
"49",7,5,"lab"
"49",2,4,"lab"
"49",11,1,"lab"
"49",3,3,"lab"
"49",6,3,"lab"
"49",5,4,"lab"
"49",10,3,"lab"
"49",8,2,"lab"
"49",13,1,"lab"
